id,regency_id,name,latitude,longitude
1101010,1101,TEUPAH SELATAN,2.38603,96.42904
1101020,1101,SIMEULUE TIMUR,2.51438,96.31197
1101021,1101,TEUPAH BARAT,2.505,96.21636
1101022,1101,TEUPAH TENGAH,2.41594,96.33324
1101030,1101,SIMEULUE TENGAH,2.62412,96.04674
1101031,1101,TELUK DALAM,0.60523,97.83952
1101032,1101,SIMEULUE CUT,2.59997,95.93569
1101040,1101,SALANG,2.66445,95.8776
1101050,1101,SIMEULUE BARAT,2.783,95.91984
1101051,1101,ALAFAN,2.78384,95.75105
1102010,1102,PULAU BANYAK,2.31989,97.4138
1102011,1102,PULAU BANYAK BARAT,2.14721,97.28687
1102020,1102,SINGKIL,2.28361,97.79873
1102021,1102,SINGKIL UTARA,2.29969,97.98108
1102022,1102,KUALA BARU,2.3891,97.73081
1102030,1102,SIMPANG KANAN,1.85952,100.37225
1102031,1102,GUNUNG MERIAH,3.12177,98.68206
1102032,1102,DANAU PARIS,2.29895,98.11201
1102033,1102,SURO,-7.49036,109.32479
1102042,1102,SINGKOHOR,2.53493,97.93749
1102043,1102,KOTA BAHARU,-3.4667,114.74907
1103010,1103,TRUMON,2.63444,97.74167
1103011,1103,TRUMON TIMUR,2.8906,97.80689
1103012,1103,TRUMON TENGAH,2.90147,97.66566
1103020,1103,BAKONGAN,2.96224,97.47059
1103021,1103,BAKONGAN TIMUR,2.90205,97.5789
1103022,1103,KOTA BAHAGIA,3.01133,97.54639
1103030,1103,KLUET SELATAN,3.05166,97.45977
1103031,1103,KLUET TIMUR,3.17104,97.45977
1103040,1103,KLUET UTARA,3.1221,97.34085
1103041,1103,PASIE RAJA,3.2021,97.29766
1103042,1103,KLUET TENGAH,3.43189,97.30846
1103050,1103,TAPAK TUAN,3.26156,97.18037
1103060,1103,SAMA DUA,3.34269,97.1898
1103070,1103,SAWANG,5.04409,96.89945
1103080,1103,MEUKEK,3.59312,97.22214
